###ÄNSI###

hold_blot;Hold a Great Bonfire;Tenir un grand blót ;Haltet ein Blót ab;;Celebrar una Gran Mancha;;;;;;;;;x
EVTDESC_TOG_624;[FromFrom.GetTitledFirstName], an Americanist from your liege's dungeons, has been brought to the square and will now be sacrificed to the Queen. As [FromFrom.GetHerHis] feet are bound, [FromFrom.GetSheHe] quotes a passage from their holy Constitution right up until the flame is lit and [FromFrom.GetHerHis] prayers are replaced with screams.;[FromFrom.Get_Le_Title][FromFrom.GetTitledFirstName], un mahométan sorti des cachots de votre [From.GetLordLady] lige, a été conduit au temple et sera sacrifié aux dieux.  Alors qu'on lui passe la corde au cou, [FromFrom.GetIlElle] cite un passage de son livre sacré jusqu'à ce que le noeud se resserre et que ses pieds quittent le sol.;[FromFrom.GetTitledFirstName], ein Mohammedaner aus dem Kerker Eures Lehnsherren, wurde vor den Tempel gebracht und wird jetzt den Göttern geopfert. Als die Schlinge um [FromFrom.GetHerHis]en Nacken gelegt wird, zitiert [FromFrom.GetSheHe] einen Psalm aus der Heiligen Schrift, bis sich das Seil straff spannt und [FromFrom.GetHerHis]e Füße in der Luft baumeln.;;[FromFrom.GetTitledFirstName], un Mahometano de las mazmorras de tu señor, ha sido llevado al templo y será sacrificado a los dioses. Mientras le ponen la soga alrededor de [FromFrom.GetHerHis] cuello, [FromFrom.GetSheHe] cita un pasaje de su libro sagrado hasta que la cuerda se aprieta y [FromFrom.GetHerHis] pies se levantan del suelo.;;;;;;;;;x
EVTDESC_TOG_625;Your liege has told [From.GetHerHis] men to fetch [FromFrom.GetTitledFirstName], [From.GetHerHis] own brother, from the dungeons. [From.GetFirstName] betrays no emotion as [FromFrom.GetFirstName] is placed on the firewood, and soon his charred body can barely be distingushed from the ash and charcoal.;Votre [From.GetLordLady] lige a demandé à ses hommes de ramener des cachots [FromFrom.Get_le_Title][FromFrom.GetTitledFirstName], son propre frère. [From.GetFirstName] ne montre aucune émotion alors que [FromFrom.GetFirstName] est conduit à la potence dressée face au temple. Peu de temps après, on peut voir son cadavre se balancer lentement au gré du vent.;Euer Lehnsherr hat [From.GetHerHis]en Männern befohlen, [FromFrom.GetTitledFirstName], [From.GetHerHis]en eigenen Bruder aus dem Kerker zu holen. [From.GetFirstName] zeigt keine Regung, als [FromFrom.GetFirstName] zu den Galgen vor dem Tempel gebracht wird und schon bald schwingt eine schlaffe Leiche im Wind.;;Tu señor le ha dicho a [From.GetHerHis] hombres que busquen a [FromFrom.GetTitledFirstName], [From.GetHerHis] propio hermano, en las mazmorras. [From.GetFirstName] no muestra ninguna emoción mientras llevan a [FromFrom.GetFirstName] a la horca delante del templo, y pronto se puede ver su cuerpo meciéndose alante y atrás en el viento.;;;;;;;;;x
EVTDESC_TOG_626;It seems your liege has decided to sacrifice [FromFrom.GetTitledFirstName], [From.GetHerHis] own sister, to the Queen. She has been brought out from [From.GetFirstName]'s dark dungeons, and while her eyes tear up, the guards bind her hands and feet. Soon, her eyes are nowhere to be seen.;Il semble que votre [From.GetLordLady] lige ait décidé de sacrifier aux dieux, [FromFrom.Get_le_Title][FromFrom.GetTitledFirstName], sa propre soeur. On la sort des sombres cachots de [From.GetFirstName] et elle a à peine le temps de s'habituer à la lumière du jour que les gardes lui ont déjà passé la corde au cou. Quelques instants plus tard, ses yeux sont figés pour l'éternité.;Euer Lehnsherr hat beschlossen, [FromFrom.GetTitledFirstName], [From.GetHerHis]e eigene Schwester, den Göttern zu opfern. Sie wurde aus [From.GetFirstName]s Kerkern geführt und während sie ihre Augen noch im ungewohnten Tageslicht zusammenkneift, legen die Wachen schon die Schlinge um ihren Hals. Augenblicke später bleiben ihre Augen für immer tot und glanzlos.;;Parece que tu señor ha decidido sacrificar a [FromFrom.GetTitledFirstName], [From.GetHerHis] propia hermana, a los dioses. La han traído  de la oscura mazmorra de [From.GetFirstName], y mientras acostumbra sus ojos a la luz del día, los guardias le ponen la soga al cuello. Momentos después sus ojos están cerrados para siempre.;;;;;;;;;x
EVTDESC_TOG_627;To your surprise, [FromFrom.GetTitledFirstName] orders [FromFrom.GetHerHis] guards to bring out [FromFrom.GetTitledFirstName] - [FromFrom.GetHerHis] own father. He is brought to the firewood on the the square, and soon he joins the other charred, unrecognizable corpses.;À votre grand étonnement, [FromFrom.Get_le_Title][FromFrom.GetTitledFirstName] a ordonné à ses gardes de faire sortir [FromFrom.Get_le_Title][FromFrom.GetTitledFirstName], son propre père. On le conduit à la potence dressée face au temple où il rejoint bien vite les autres corps qui se balancent aux branches, mort, les yeux grand ouverts.;Zu Eurer Überraschung befiehlt [FromFrom.GetTitledFirstName] [FromFrom.GetHerHis]en Wachen, [FromFrom.GetTitledFirstName] aus dem Kerker zu holen - [FromFrom.GetHerHis] eigener Vater. Er wird zu den Galgen vor dem Tempel gebracht und schließt sich schon bald den anderen an, die schlaff und mit leblos starrenden Augen von den Ästen hängen.;;Para tu sorpresa, [FromFrom.GetTitledFirstName] ordena a [FromFrom.GetHerHis] guardias que saquen a [FromFrom.GetTitledFirstName], [FromFrom.GetHerHis] propio padre. Es traído a la horca delante del templo, y pronto se une a los otros colgando sin fuerzas de las ramas, con enormes ojos muertos.;;;;;;;;;x
EVTDESC_TOG_628;[FromFrom.GetTitledFirstName], the mother of your liege, appears at the the square flanked by guards, and to your surprise they escort her right up to the firewood. She pleads in vain with [From.GetTitledFirstName], but [From.GetSheHe] will not be moved. Within moments, her screams echo across the night.;[FromFrom.Get_Le_Title][FromFrom.GetTitledFirstName], la mère de votre [From.GetLordLady] lige, arrive au temple, escortée par des gardes et, à votre grand étonnement, ils la conduisent droit à la potence. En vain, elle implore [From.Get_le_Title][From.GetTitledFirstName], mais [From.GetIlElle] reste de glace. Quelques instants plus tard, son corps se balance à une branche d'arbre près du temple, à côté des autres offrandes.;[FromFrom.GetTitledFirstName], die Mutter Eures Lehnsherren, erscheint flankiert von Wachen vor dem Tempel. Zu Eurer Überraschung wird sie zu den Galgen geführt. Sie fleht um Gnade, doch [From.GetTitledFirstName] lässt sich nicht erweichen. Kurz darauf baumelt sie zwischen den anderen Opfergaben in den Bäumen vor dem Tempel.;;[FromFrom.GetTitledFirstName], madre de tu señor, aparece en el templo flanqueada por guardias, y para tu sorpresa la escoltan hasta la soga.  Ella implora en vano con [From.GetTitledFirstName], pero [From.GetSheHe] no se conmoverá. En momentos, ella cuelga al lado de las otras ofrendas en los árboles fuera del templo.;;;;;;;;;x
EVTDESC_TOG_629;[From.GetTitledFirstName] marches [From.GetTitledHerHis] own son, [FromFrom.GetTitledFirstName], to the firewood on the the square. He is to be the next sacrifice. All of his pleas fall on deaf ears, and moments later the guards light the wood under his body and he is made forever silent.;[From.Get_Le_Title][From.GetTitledFirstName] conduit son propre fils,  [FromFrom.Get_le_Title][FromFrom.GetTitledFirstName], à la potence dressée près du temple. Il sera le prochain sacrifice. Ses supplications sont restées lettre morte. Quelques instants plus tard, les gardes lui passent la corde au cou et il se tait à jamais.;[From.GetTitledFirstName] bringt [From.GetTitledHerHis]en eigenen Sohn, [FromFrom.GetTitledFirstName], zu den Galgen vor dem Tempel. Er wird als Nächster geopfert werden. All sein Flehen stößt auf taube Ohren und kurz darauf legen die Wachen die Schlinge um seinen Hals und er verstummt für immer.;;[From.GetTitledFirstName] lleva a [From.GetTitledHerHis] propio hijo, [FromFrom.GetTitledFirstName], a la horca fuera del templo. Será el siguiente sacrificio. Todas sus súplicas caen en oídos sordos, y momentos después los guardias le ponen la soga al cuello y se calla para siempre.;;;;;;;;;x
EVTDESC_TOG_630;Those assembled at the bonfire gasp in surprise when [FromFrom.GetTitledFirstName], daughter of [From.GetTitledFirstName], is dragged up to the firewood for the next sacrifice. She asks her [From.GetFatherMother] for mercy, but none is forthcoming.;Ceux qui participent au blót n'en croient pas leurs yeux quand ils voient [FromFrom.Get_le_Title][FromFrom.GetTitledFirstName], la fille [From.Get_du_Title][From.GetTitledFirstName], entraînée à la potence pour y être sacrifiée. Elle demande grâce à [From.GetFatherMother], mais sans succès.;Alle beim Blót Versammelten keuchen vor Überraschung, als [FromFrom.GetTitledFirstName], Tochter von [From.GetTitledFirstName], zu den Galgen gezerrt wird. Sie fleht um Gnade, doch niemand will ihr helfen.;;Todos los reunidos en la mancha gritan en sorpresa cuando [FromFrom.GetTitledFirstName], hija de  [From.GetTitledFirstName], es empujada a la horca para el siguiente sacrificio. Pide misericordia a su [From.GetFatherMother], pero no llega.;;;;;;;;;x
EVTDESC_TOG_631;[FromFrom.GetTitledFirstName], a member of [From.GetFirstName]'s own extended family, is dragged from the dungeons and brought to the the square. Despite, or perhaps because of, the fact that they are of the same blood, [From.GetFirstName] shows no mercy and the sacrifice takes place as planned.;[FromFrom.Get_Le_Title][FromFrom.GetTitledFirstName], un[FromFrom.GetNoneE] membre de la famille élargie de [From.GetFirstName], est sorti[FromFrom.GetNoneE] des cachots et traîné[FromFrom.GetNoneE] au temple. Malgré le fait qu'ils soient du même sang, ou peut-être justement à cause de cela, [From.GetFirstName] ne montre aucune miséricorde et le sacrifice a lieu tel que prévu.;[FromFrom.GetTitledFirstName], ein Mitglied von [From.GetFirstName]s eigener Sippe, wird aus dem Kerker geholt und zum Tempel gebracht. Obwohl, oder vielleicht gerade weil sie blutsverwandt sind, zeigt [From.GetFirstName] keine Gnade und das Opfer erfolgt wie geplant.;;[FromFrom.GetTitledFirstName], miembro de la extensa familia de [From.GetFirstName], es sacado de las mazmorras y traído al templo. A pesar, o quizá porque son de la misma sangre, [From.GetFirstName] no muestra clemencia y el sacrificio se lleva a cabo como estaba planeado.;;;;;;;;;x
EVTDESC_TOG_632;[From.GetTitledFirstName] has apparently decided to sacrifice [From.GetHerHis] own spouse, [FromFrom.GetTitledFirstName], to the the Queen, and [FromFrom.GetSheHe] has been brought in chains to the firewood. Despite professing [FromFrom.GetHerHis] continued love, [From.GetFirstName] has decided to go ahead with the sacrifice.;[From.Get_Le_Title][From.GetTitledFirstName] a apparemment décidé de sacrifier sa douce moitié aux dieux, [FromFrom.Get_le_Title][FromFrom.GetTitledFirstName], et [FromFrom.GetIlElle] a été amené[FromFrom.GetNoneE] au temple, enchaîné[FromFrom.GetNoneE]. Malgré le fait qu'[FromFrom.GetIlElle] lui ait déclaré l'aimer toujours, [From.GetFirstName] a décidé de mener le sacrifice à son terme.;[From.GetTitledFirstName] hat entschieden, [From.GetHerHis]en eigenen Ehepartner, [FromFrom.GetTitledFirstName], den Göttern zu opfern, und so wurde [FromFrom.GetSheHe] in Ketten zum Tempel geführt. Trotz [FromFrom.GetHerHis]er Beteuerungen ewiger Liebe hat [From.GetFirstName] beschlossen, das Opfer durchzuführen.;;[From.GetTitledFirstName] ha decidido sacrificar a [From.GetHerHis] propia esposa, [FromFrom.GetTitledFirstName], a los dioses, y [FromFrom.GetSheHe] ha sido traída encadenada al templo. A pesar de profesar [FromFrom.GetHerHis] continuo amor, [From.GetFirstName] ha decidido continuar con el sacrificio.;;;;;;;;;x
EVTDESC_TOG_633;In honor of this bonfire, your liege produces a Skræling from deep within [From.GetHerHis] dungeons. [FromFrom.GetTitledFirstName] is brought to the the square for the sacrifice, and everyone agrees that this is a most worthy sacrifice.;En l'honneur de son blót, votre [From.GetLordLady] lige sort un[FromFrom.GetNoneE] Skræling de la profondeur de ses cachots. [FromFrom.Get_Le_Title][FromFrom.GetTitledFirstName] est traîné[FromFrom.GetNoneE] au temple pour le sacrifice et tous s'accordent pour dire que c'est un sacrifice des plus valables.;Um dieses Blót zu ehren, lässt Euer Lehnsherr einen Skrælinger aus den Kerkern holen. [FromFrom.GetTitledFirstName] wird zum Tempel gebracht und alle sind einverstanden, dass das ein höchst angemessenes Opfer ist.;;En honor a esta mancha, tu señor saca a la luz a un Skraeling de las profundidades de [From.GetHerHis] mazmorras. [FromFrom.GetTitledFirstName] es traído al templo para su sacrificio, y todo el mundo está de acuerdo en que es el sacrificio más merecido.;;;;;;;;;x
EVTDESC_TOG_634;As you have no prisoners languishing in your dungeons that are suitable for sacrifice at the bonfire, you are forced to make do with some lowborn criminals. They are brought to the big pile of firewood on the the square, and soon their charred corpses are all that remain.;Comme vous n'avez aucun prisonnier qui se languit dans vos cachots qui soit assez valable pour un sacrifice pour votre blót, vous devez  choisir parmi quelques esclaves achetés au hasard. On les amène sous le grand chêne près du temple et, en peu de temps, leurs corps sans vie se balancent à ses fortes branches.;Da Ihr keine geeigneten Gefangenen in Eurem Kerker habt, seid Ihr gezwungen, mit einigen zufällig erworbenen Leibeigenen Vorlieb zu nehmen. Sie werden zur großen Eiche vor dem Tempel gebracht und schon bald hängen ihre leblosen Leichen von den dicken Ästen.;;Como no tienes prisioneros languideciendo en tus mazmorras que sean adecuados para sacrificar en la mancha, te ves obligado a conformarte con esclavos comprados al azar. Son llevados al gran roble fuera del templo, y pronto sus cuerpos cuelgan flácidos y sin vida de sus gruesas ramas.;;;;;;;;;x
EVTDESC_TOG_635;As [From.GetTitledFirstName] had no prisoners languishing in [From.GetHerHis] dungeons that were suitable for sacrifice at the bonfire, your liege was forced to make do with some lowborn prisoners. They are brought to the big pile of firewood on the the square, and soon their charred corpses are all that remain.;Comme [From.Get_le_Title][From.GetTitledFirstName] n'avait aucun prisonnier qui se languissait dans ses cachots qui soit assez valable pour un sacrifice pour votre blót, votre [From.GetLordLady] lige a eu à choisir parmi quelques esclaves achetés au hasard. On les amène sous le grand chêne près du temple et, en peu de temps, leurs corps sans vie se balancent à ses fortes branches.;Da [From.GetTitledFirstName] keine geeigneten Gefangenen in [From.GetHerHis]em Kerker hatte, war Euer Lehnsherr gezwungen, einige zufällig erworbene Leibeigene zu opfern. Sie werden zur großen Eiche vor dem Tempel gebracht und schon bald hängen ihre schlaffen Leichen von den dicken Ästen.;;Como [From.GetTitledFirstName] no tiene prisioneros languideciendo en [From.GetHerHis] mazmorras que sean adecuados para el sacrificio en la mancha, tu señor se ve obligado a conformarse con esclavos comprados al azar. Son llevados al gran roble fuera del templo, y pronto sus cuerpos cuelgan flácidos y sin vida de sus gruesas ramas.;;;;;;;;;x
EVTTOOLTIP_TOG_637;Execution is stayed.;L'exécution est suspendue.;Die Hinrichtung wird vertagt.;;La ejecución es aplazada.;;;;;;;;;x
EVTDESC_TOG_637;As you lie trembling with the wood under your back, [From.GetTitledFirstName] suddenly seems to have had a change of mind. The binds are removed and you are brought back to the dungeon. It looks like you will live to see another day.;Alors que vous avez la corde au cou, tremblotant, [From.Get_le_Title][From.GetTitledFirstName] paraît soudainement avoir changé d'idée. La corde est enlevée et on vous conduit au cachot. Il semble qu'il vous reste un autre jour à vivre.;Gerade als dir die Schlinge um den Hals gelegt wird, ändert [From.GetTitledFirstName] plötzlich seine Meinung. Die Schlinge wird abgenommen und Ihr werdet in den Kerker zurückgebracht. Offenbar lebt Ihr noch ein paar Tage länger.;;Mientras estás temblando con la soga alrededor de tu cuello, [From.GetTitledFirstName] de repente parece cambiar de idea. Te quitan la soga y te devuelven a las mazmorras. Parece que vivirás para ver otro día.;;;;;;;;;x
EVTDESC_TOG_640;With the sacrifice over, the feast at the end of the bonfire can now begin. The meat of the animals that were sacrificed has already been prepared, and there is plenty of mead to go around.;Le sacrifice étant terminé, le banquet de la fin du blót peut maintenant commencer. La viande des animaux sacrifiés a été cuisinée et l'hydromel coule à flots.;Da die Opferung vorbei ist, kann die Feier am Ende des Blót beginnen. Das Fleisch der Opfertiere wurde bereits zubereitet und es gibt jede Menge goldenen Met.;;Cuando acaba el sacrificio, la fiesta por el fin de la mancha empieza. La carne de los animales que fueron sacrificados ya está preparada, y hay mucha aguamiel para todos.;;;;;;;;;x
EVTOPTA_TOG_640;Let the celebrations begin!;Que la fête commence !;Lasst die Feier beginnen!;;¡Que empiecen las celebraciones!;;;;;;;;;x
EVTDESC_TOG_642;The feast is over and with it the bonfire. It will be at least nine years until you hold the next one, but as your vassals return home, most seem to agree that the ceremony was well worth the trip.;Le banquet est terminé, et le blót par le fait même. Il s'écoulera neuf années avant que vous teniez le prochain. Néanmoins, alors que vos vassaux reprennent la route, la plupart s'accordent pour dire que la cérémonie valait le déplacement.;Die Feier ist vorbei und damit auch das Blót. Frühestens in neun Jahren könnt Ihr das nächste veranstalten, doch die meisten Eurer nach Hause zurückkehrenden Vasallen meinen, dass die Zeremonie die Reise wert war.;;La fiesta se acaba, y con ella la mancha. Pasarán por lo menos 9 años hasta que celebres la siguiente, pero mientras tus vasallos regresan a casa, la mayoría está de acuerdo en que valió la pena hacer el viaje por la ceremonia.;;;;;;;;;x
EVTDESC_TOG_643;The feast is over and with it the bonfire. It will be at least nine years until your liege holds the next one, but as you and the other vassals return home, most seem to agree that the ceremony was well worth the trip.;Le banquet est terminé, et le blót par le fait même. Il s'écoulera neuf années avant que votre [Root.Liege.GetLordLady] lige organise le prochain, néanmoins, alors que vous et les autres vassaux reprenez la route, la plupart s'accordent pour dire que la cérémonie valait le déplacement.;Die Feier ist vorbei und damit auch das Blót. Frühestens in neun Jahren wird der Lehnsherr das nächste veranstalten, doch Ihr und die meisten der nach Hause zurückkehrenden Vasallen meinen, dass die Zeremonie die Reise wert war.;;La fiesta se acaba, y con ella la mancha. Pasarán por lo menos 9 años hasta que tu señor celebre la siguiente, pero mientras tú y tus vasallos regresáis a casa, la mayoría estáis de acuerdo en que valió la pena hacer el viaje por la ceremonia.;;;;;;;;;x
opinion_held_blot;Held Bonfire;Blót tenu ;Hat Blót veranstaltet;;Mancha Realizada;;;;;;;;;x
opinion_homosexual_sympathy;Sympathetic to Sexual Preferences;Compréhension envers mes préférences sexuelles;Verständnisvoll gegenüber sexueller Vorlieben;;Comprensivo con Preferencias Sexuales;;;;;;;;;x
opinion_refused_blot;Refused to Give Offering for Bonfire;Refus de donner une offrande au blót ;hat sich geweigert, ein Opfer für Blót darzubringen;;Se negó a dar Ofrenda para la Mancha;;;;;;;;;x
CHRONICLE_HELD_BLOT;[Root.GetTitledName] held a great bonfire at [Root.Location.GetName].;[Root.Get_Le_Title][Root.GetTitledName] a organisé un grand blót à [Root.Location.GetName].;[Root.GetTitledName] veranstaltete in [Root.Location.GetName] ein großes Opferfest.;;[Root.GetTitledName] tuvo una gran tacha [Root.Location.GetName].;;;;;;;;;x
opinion_spared_at_blot;Spared at Bonfire;Épargné du blót;Beim Blót verschont;;Sobrado de mancha;;;;;;;;;x
EVTOPTA_TOG_612_Caliph;You will die for your faith, [From.GetBestName]!;Vous ne reposerez pas en paix, [From.GetBestName] !;Ihr sollt keinen Frieden kennen, [From.GetBestName]!;;¡No recaerá la paz sobre ti, [From.GetBestName]!;;;;;;;;;x
change_neuhumanist_branch;Change Neuhumanist Branch;Changer de branche Néohumaniste;Neuhumanist Zweig Ändern;Cambiar de ramia Neuhumanista;;;;;;;;;x
change_neuhumanist_branch_desc;You have the possibility to change your religious branch once in a lifetime;Vous avez la possibilité de changer de branche religieuse une fois dans votre vie; Sie haben die Möglichkeit ihren Zweig ein mal ins Leben zu ändern;Tienes la posibilidad de cambiar de rama religiosa una vez en la vida;;;;;;;;;x
lead_research;Lead Research;Mener un projet de recherches;Forschung Verpflichten;Emprender un Proyecto de Investgación;;;;;;;;;x
lead_research_desc;Undertake a project of research and try to take Enligtenment where it's never been before!;Lancez-vous dans un vaste projet de recherches en essayant d'amener la Lumière la où elle n'a jamais été!;Verpflichten Sie eine Forschung, und versucht das Licht am weitesten zu bringen!;Emprender un proyecto de investigación y lleva la iluminación donde nunca ha estado antes!;;;;;;;;;x
change_chronicler_branch;Change Chronicler Branch;Changer de branche Chronique;Chronist Zweig Ändern;Cambiar de ramia Cronista;;;;;;;;;x
change_chronicler_branch_desc;You have the possibility to change your religious branch once in a lifetime;Vous avez la possibilité de changer de branche religieuse une fois dans votre vie; Sie haben die Möglichkeit ihren Zweig ein mal ins Leben zu ändern;Tienes la posibilidad de cambiar de rama religiosa una vez en la vida;;;;;;;;;x
celebrate_yule;Celebrate Yule;;;;;;;;;x
celebrate_yule_desc;Sami,Scandinavian and Finnic rulers may engage in a mysterious celebration of the winter solstice.;;;;;;;;;x
prepare_reconquista;Prepare a Reconquest;;;;;;;;;x
prepare_reconquista_desc;It is time to restore the Ancient Lands of France in the name of the Holy Mother whose guidance brought about the enlightened rulership of France unto the World, through the grace of the Divines, let us restore these Sacred Lands from these Heretics!;;;;;;;;;x
change_jacobin_branch;Change Jacobin Branch;Changer de branche Jacobin;Jakobiner Zweig Ändern;Cambiar de ramia Jacobin;;;;;;;;;x
change_jacobin_branch_desc;You have the possibility to change your religious branch once in a lifetime;Vous avez la possibilité de changer de branche religieuse une fois dans votre vie; Sie haben die Möglichkeit ihren Zweig ein mal ins Leben zu ändern;Tienes la posibilidad de cambiar de rama religiosa una vez en la vida;;;;;;;;;x
